ID,Title,Watched,Year,Genre,Runtime,Tier,Medium
467,Green Room,2020-07-20,2015.0,Thriller,95.0,S,Home
470,A Beautiful Day in the Neighborhood,2020-07-25,2019.0,Drama,109.0,A,Home
471,The Diary of Teenage Girl,2020-07-25,2015.0,Drama,102.0,A,Home
472,The Sound of Music,2020-08-01,1965.0,Musical,175.0,A,Home
473,The Two Popes,2020-08-09,2019.0,Drama,126.0,A,Home
475,The Usual Suspects,2020-08-15,1995.0,Crime,108.0,A,Home
477,Hereditary,2020-08-21,2018.0,Horror,127.0,S,Home
478,The Pale Door,2020-08-21,2020.0,Horror,96.0,B,Home
480,My Neighbor Totoro,2020-08-22,1988.0,Fantasy,88.0,S,Home
486,The Italian Job,2020-09-12,2003.0,Crime,111.0,A,Home
487,The Babysitter Killer Queens,2020-09-13,2020.0,Comedy,101.0,A,Home
488,Tenet,2020-09-15,2020.0,Science Fiction,150.0,B,Cinema
493,A Room with a View,2020-09-19,1985.0,Drama,117.0,C,Home
494,1917,2020-09-25,2019.0,War,119.0,A,Home
495,Enola Holmes,2020-09-26,2020.0,Crime,123.0,A,Home
496,Scott Pilgrim vs The World,2020-10-02,2010.0,Comedy,112.0,S,Home
502,Pulp Fiction,2020-10-24,1994.0,Crime,178.0,A,Home
510,Mad Max Fury Road,2020-12-11,2015.0,Action,120.0,S,Home
511,Rope,2020-12-12,1968.0,Thriller,81.0,S,Home
512,Sicario,2020-12-12,2015.0,Crime,121.0,S,Home
524,The Two Popes,2020-12-29,2019.0,Drama,126.0,A,Home
525,The Death of Stalin,2020-12-30,2017.0,Comedy,107.0,A,Home
528,Sound of Metal,2021-01-15,2020.0,Drama,120.0,A,Home
529,The Cabin in the Woods,2021-01-15,2011.0,Horror,95.0,A,Home
531,Godzilla King of the Monsters,2021-01-16,2019.0,Action,132.0,A,Home
533,Children of Men,2021-01-22,2003.0,Science Fiction,114.0,S,Home
538,No Country for Old Men,2021-01-26,2007.0,Western,123.0,S,Home
539,In the Mood for Love,2021-01-27,2000.0,Drama,99.0,S,Home
541,City of God,2021-01-28,2002.0,Crime,135.0,S,Home
546,Back to the Future,2021-01-30,1985.0,Adventure,119.0,B,Home
553,The Death of Stalin,2021-02-01,2017.0,Comedy,107.0,A,Home
556,Memento,2021-02-02,2000.0,Crime,120.0,A,Home
558,Who Killed Captain Alex,2021-02-03,2015.0,Comedy,68.0,A,Home
561,Little Monsters,2021-02-04,2019.0,Comedy,94.0,B,Home
563,The Wolf of Wall Street,2021-02-06,2013.0,Comedy,180.0,A,Home
564,The Room,2021-02-06,2000.0,Drama,99.0,A,Home
565,Death to 2020,2021-02-06,2020.0,Comedy,70.0,B,Home
568,Harry Potter and the Philospher's Stone,2021-02-07,2001.0,Fantasy,169.0,B,Home
571,Airplane!,2021-02-09,1980.0,Comedy,99.0,S,Home
580,The Grand Budapest Hotel,2021-02-18,2014.0,Comedy,98.0,A,Home
588,Green Room,2021-02-24,2014.0,Thriller,95.0,A,Home
591,Slow West,2021-02-25,2015.0,Western,84.0,A,Home
594,The Lord of the Rings: Fellowship of the Ring,2021-02-27,2001.0,Fantasy,208.0,S,Home
597,Project Power,2021-02-27,2020.0,Science Fiction,113.0,C,Home
598,The Lord of the Rings: The Two Towers,2021-02-28,2002.0,Fantasy,200.0,S,Home
605,Hereditary,2021-03-05,2018.0,Horror,127.0,S,Home
611,Demon Slayer Infinity Train,2021-03-06,2021.0,Action,120.0,A,Home
612,Dawn of the Planet of the Apes,2021-03-07,2011.0,Science Fiction,130.0,A,Home
614,The Incredibles 2,2021-03-07,2018.0,Adventure,118.0,B,Home
615,Harry Potter and the Chamber of Secrets,2021-03-07,2002.0,Fantasy,161.0,B,Home
621,Raya and the Last Dragon,2021-03-09,2021.0,Fantasy,117.0,B,Home
625,While at War,2021-03-10,2019.0,Drama,107.0,A,Home
630,Harry Potter and the Prisoner of Azkaban,2021-03-14,2004.0,Fantasy,142.0,B,Home
633,Harry Potter and the Goblet of Fire,2021-03-17,2005.0,Fantasy,157.0,B,Home
635,Harry Potter and the Order of the Pheonix,2021-03-19,2007.0,Fantasy,142.0,S,Home
637,The Martian,2021-03-20,2015.0,Science Fiction,151.0,A,Home
641,Harry Potter and the Half Blood Prince,2021-03-24,2009.0,Fantasy,154.0,B,Home
642,The Lord of the Rings: Return of the King,2021-03-27,2003.0,Fantasy,251.0,S,Home
646,Harry Potter and the Deathly Hallows Part 1,2021-03-29,2010.0,Fantasy,146.0,B,Home
648,Judas and the Black Messiah,2021-04-03,2021.0,Drama,126.0,A,Home
649,Harry Potter and the Deathly Hallows Part 2,2021-04-05,2011.0,Fantasy,130.0,B,Home
654,Godzilla,2021-04-10,2014.0,Action,123.0,A,Home
657,Godzilla King of the Monsters,2021-04-12,2019.0,Action,132.0,A,Home
658,Justice League Snyder Cut,2021-04-13,2021.0,Action,240.0,C,Home
660,The Social Network,2021-04-15,2010.0,Drama,121.0,S,Home
664,Bad Trip,2021-04-24,2020.0,Comedy,84.0,B,Home
668,The Descent,2021-04-30,2005.0,Horror,109.0,B,Home
670,Godzilla vs Kong,2021-05-01,2021.0,Action,113.0,A,Home
675,The King of Staten Island,2021-05-09,2020.0,Comedy,138.0,A,Home
687,Save Yourselves,2021-05-15,2020.0,Comedy,93.0,B,Home
688,War for the Planet of the Apes,2021-05-21,2017.0,Science Fiction,142.0,A,Home
691,A Quiet Place,2021-05-28,2017.0,Science Fiction,93.0,B,Home
700,Army of the Dead,2021-06-05,2021.0,Action,148.0,C,Home
701,The Mitchells vs The Machines,2021-06-06,2021.0,Comedy,118.0,A,Home
703,The Conjuring,2021-06-08,2013.0,Horror,112.0,A,Home
705,The Departed,2021-06-11,2006.0,Crime,153.0,A,Home
708,Tag,2021-06-12,2018.0,Comedy,105.0,A,Home
709,Mainstream,2021-06-17,2021.0,Drama,95.0,B,Home
711,There Will Be Blood,2021-06-18,2007.0,Drama,148.0,A,Home
713,The Witch,2021-06-19,2015.0,Horror,94.0,S,Home
715,The Conjuring 2,2021-06-20,2016.0,Horror,134.0,A,Home
719,The Conjuring The Devil Made Me Do It,2021-06-22,2021.0,Horror,114.0,B,Cinema
724,Brigsby Bear,2021-06-25,2017.0,Comedy,100.0,S,Home
726,Whiplash,2021-06-26,2014.0,Drama,107.0,S,Home
728,Good on Paper,2021-06-27,2021.0,Comedy,92.0,A,Home
733,Saint Maude,2021-06-30,2019.0,Horror,84.0,S,Home
735,Super 8,2021-07-01,2011.0,Science Fiction,112.0,A,Home
739,Werewolves Within,2021-07-03,2021.0,Mystery,90.0,A,Home
741,Game Night,2021-07-04,2018.0,Comedy,100.0,A,Home
